id,objeto,comunas,barrios,perimetro,area,poblacion_situacion_calle
1,LIMITE COMUNAL,2,RECOLETA,21452.83865,6317264.561,37
3,LIMITE COMUNAL,6,CABALLITO,10990.96447,6851028.914,42
6,LIMITE COMUNAL,10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,18332.03746,12656556.94,18
7,LIMITE COMUNAL,11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,19987.69616,14120042.42,11
8,LIMITE COMUNAL,12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,17232.18937,15570926.64,18
9,LIMITE COMUNAL,14,PALERMO,22126.53186,15845871.29,83
11,LIMITE COMUNAL,15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,17832.58558,14322896.6,51
15,LIMITE COMUNAL,13,BELGRANO - COLEGIALES - NUÑEZ,26198.82695,14713213.18,86
13,LIMITE COMUNAL,4,BARRACAS - LA BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,35423.2828,21684644.63,70
2,LIMITE COMUNAL,5,ALMAGRO - BOEDO,12323.43248,6660603.119,10
4,LIMITE COMUNAL,7,FLORES - PARQUE CHACABUCO,17972.25787,12422900.83,35
10,LIMITE COMUNAL,3,BALVANERA - SAN CRISTOBAL,10486.26081,6385991.396,172
5,LIMITE COMUNAL,9,LINIERS - MATADEROS - PARQUE AVELLANEDA,21411.73834,16505305.79,25
12,LIMITE COMUNAL,8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,20935.01251,22216901.85,3
14,LIMITE COMUNAL,1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,36102.20157,17794568.88,242
